from	statement	to	subkey
17	Stamens 5, free; leaves ovate or obovate to round, generally palmately 3--5-lobed, generally toothed; glands stalked or 0	Grossulariaceae	Family Group 21
17	Stamens 10, fused in ring with staminodes; leaves linear needle-like, entire, opposite; glands embedded in leaves	Myrtaceae	Family Group 21
18	Leaves alternate	19	Family Group 21
18	Leaves opposite; sepals and petals 4(5)	20	Family Group 21
19	Plant a non-desert, sprawling, woody vine (flower stems +- erect); leaves smooth, dark green, often palmately lobed; inflorescence a cluster of umbels; fruit a berry	Araliaceae	Family Group 21
19	Plant a low-desert perennial herb; leaves generally scabrous, pale green, unlobed; inflorescence +- a raceme; fruit an achene	Loasaceae	Family Group 21
20	Perennial herb to tree; inflorescence an umbel, head, or cyme; fruit a drupe	Cornaceae	Family Group 21
20	Annual; inflorescence a spike or spike-like raceme; fruit indehiscent, nut-like	Onagraceae	Family Group 21
21	Seeds 1--2 per chamber	22	Family Group 21
21	Seeds generally several--many per chamber	25	Family Group 21
22	Inflorescences of umbels or heads (spike in _Hydrocotyle verticillata_)	23	Family Group 21
22	Inflorescences various but not of umbels, heads, or spikes	24	Family Group 21
23	Leaves various [if round-reniform, plant terrestrial], glabrous or hairy; inflorescence generally compound umbel (occasionally simple umbel, head)	Apiaceae	Family Group 21
23	Leaves round-peltate or -reniform, glabrous; plant aquatic with stolons or rhizomes, floating or rooted in shallow water or on mud; inflorescence simple umbel or spike	Araliaceae	Family Group 21
24	Leaves alternate; hypanthium well developed; fruit a pome	Rosaceae	Family Group 21
24	Leaves opposite; hypanthium very short or 0; fruit a capsule	Hydrangeaceae	Family Group 21
25	Sepals 2; leaves fleshy	Portulacaceae	Family Group 21
25	Sepals 4--5; leaves generally not fleshy	26	Family Group 21
26	Herb	Saxifragaceae	Family Group 21
26	Shrub	27	Family Group 21
27	Stamens 4--5	Grossulariaceae	Family Group 21
27	Stamens 10	Hydrangeaceae	Family Group 21
1	Ovary chamber 1	2	Family Group 22
1	Ovary chambers 2--many	10	Family Group 22
2	Hypanthium present	3	Family Group 22
2	Hypanthium 0	5	Family Group 22
3	Sepals fused into conical cap that falls away as flower opens, 0 in open flower; petals 4 --- funnel-shaped receptacle readily misinterpreted as a hypanthium	Papaveraceae	Family Group 22
3	Sepals present in open flower; petals (2)5	4	Family Group 22
4	Flowers +- radial; petals generally 5, oblanceolate to +- round, not recurved	Rosaceae	Family Group 22
4	Flowers strongly bilateral; petals 2, narrowly awl-like, recurved --- sepals obovate; fruit opening before seeds mature, becoming widely dehiscent	Saxifragaceae	Family Group 22
5	Inflorescence a spike or 1--many heads	6	Family Group 22
5	Inflorescence a cyme, raceme, panicle, or umbel, or flower solitary	7	Family Group 22
6	Shrub or tree; fruit a legume	Fabaceae Group 1	Family Group 22
6	Herb; fruit a capsule, dehiscent at tip	Resedaceae	Family Group 22
7	Sepals 2--3 (fused into conical cap in _Eschscholzia_), early-deciduous, 0 in open flower; latex generally present [at least in roots], generally milky or colored	Papaveraceae	Family Group 22
7	Sepals 2--5(8), persistent; milky or colored latex 0	8	Family Group 22
8	Filaments fused at base into 3--5 bunches	Hypericaceae	Family Group 22
8	Filaments free to base	9	Family Group 22
9	Sepals 3 or 5; placentas parietal, ovary chamber 1 (or +- 3--12 from intruded placentas); annual to shrub; plant hairy (+- glabrous), not at all fleshy; capsule splitting by valves	Cistaceae	Family Group 22
9	Sepals 2--8; placentas free-central, ovary chamber 1; annual or taprooted perennial herb; plant +- glabrous, generally +- fleshy; capsule circumscissile or splitting by valves	Montiaceae	Family Group 22
10	Leaves hollow, tubular, often holding watery fluid within	Sarraceniaceae	Family Group 22
10	Leaves with ordinary flat blades	11	Family Group 22
11	Plant aquatic; leaves 1--4 dm, oblong or ovate to round, floating or rising a short distance above the water surface	Nymphaeaceae	Family Group 22
11	Plant terrestrial, sometimes in wet soil; leaves often < 1 dm	12	Family Group 22
12	Flowers unisexual --- ovary 3-lobed	Euphorbiaceae	Family Group 22
12	Flowers bisexual	13	Family Group 22
13	Filaments fused into tube around style; anther chamber 1 or appearing so	14	Family Group 22
13	Filaments free or fused at base into groups; anther chambers 2	15	Family Group 22
14	Flowers radial; stamens many; filament tube cylindric	Malvaceae	Family Group 22
14	Flowers bilateral; stamens 6--8; filament tube open on one side	Polygalaceae	Family Group 22
15	Leaves opposite or whorled (distal occasionally alternate), entire	16	Family Group 22
15	Leaves alternate throughout, entire to lobed	18	Family Group 22
16	Petals yellow (salmon)	Hypericaceae	Family Group 22
16	Petals white to purple	17	Family Group 22
17	Shrub --- ovary actually 1/2 inferior but easily interpreted as superior	Hydrangeaceae	Family Group 22
17	Herb	Lythraceae	Family Group 22
18	Hypanthium present	Rosaceae	Family Group 22
18	Hypanthium 0	19	Family Group 22
19	Petals 4--5; sepals 4--5, present in open flower, persistent in fruit; stamens 12--15	Nitrariaceae	Family Group 22
19	Petals 6; sepals 3, early-deciduous, 0 in open flower; stamens many	Papaveraceae	Family Group 22
1	Leaves opposite or whorled	2	Family Group 23
1	Leaves alternate, sometimes reduced to minute scales or so quickly deciduous that the plants are generally leafless	9	Family Group 23
2	Leaves 2-lobed, resin-coated; flowers bright yellow; fruit covered with white, spreading hairs --- desert shrub; leaf sometimes treated as compound with 2 leaflets fused at base	Zygophyllaceae	Family Group 23
2	Leaves entire or toothed to palmately lobed or divided; flower +- green or white to creamy yellow, blue, or purple; fruit not covered with white, spreading hairs	3	Family Group 23
3	Leaves lobed or divided; fruit splitting into mericarps	4	Family Group 23
3	Leaves entire or toothed; fruit a capsule or drupe	5	Family Group 23
4	Shrub <= 1 m; stigmas 5, on long, stiff style; ovary not winged; mericarps wingless, each tipped by a spirally coiled beak	Geraniaceae	Family Group 23
4	Tree or large shrub; stigmas 2(3), +- sessile; ovary 2(3)-winged; mericarps winged, beaks 0	Sapindaceae	Family Group 23
5	Leaves +- fleshy, salt encrusted, generally < 1 mm wide, united across node by a sheath	Frankeniaceae {Frankenia palmeri}	Family Group 23
5	Leaves generally thin or leathery, not salt encrusted, generally >= 2 mm wide, not united by a sheath	6	Family Group 23
6	Stamens > in number than petals	Rutaceae	Family Group 23
6	Stamens = in number to petals	7	Family Group 23
7	Petals opposite stamens, generally +- cupped	Rhamnaceae	Family Group 23
7	Petals alternate stamens, generally +- flat	8	Family Group 23
8	Leaves opposite	Celastraceae	Family Group 23
8	Leaves +- whorled at some nodes, alternate at others	Pittosporaceae	Family Group 23
9	Leaves lobed	10	Family Group 23
9	Leaves entire or toothed, unlobed	13	Family Group 23
10	Tendrils present; plant a woody vine, generally trailing or climbing on other plants	11	Family Group 23
10	Tendrils 0; plant +- erect, not climbing	12	Family Group 23
11	Flowers solitary, large and showy	Passifloraceae	Family Group 23
11	Flowers in panicles, small and inconspicuous	Vitaceae	Family Group 23
12	Inflorescence a panicle; flowers radial; 2--4 mm diam; fruit a drupe	Anacardiaceae {Rhus aromatica}	Family Group 23
12	Inflorescence an umbel; flowers +- bilateral, 15--40 mm wide; fruit splitting into 5 mericarps	Geraniaceae	Family Group 23
13	Leaf palmately veined, the blade well developed	14	Family Group 23
13	Leaf pinnately veined, 1-veined, or reduced to a bladeless scale	15	Family Group 23
14	Flowers strongly bilateral	Fabaceae	Family Group 23
14	Flowers radial	Rhamnaceae	Family Group 23
15	Flowers strongly bilateral	16	Family Group 23
15	Flowers radial or nearly so	18	Family Group 23
16	Stamens 4, all inserted on 1 side of ovary, free or nearly so; sepals rose-purple, petal-like, widely spreading; upper 3 petals similar, stalked, free or fused, lower 2 petals reduced to fleshy scales or glands; fruit an indehiscent pod bearing slender, barb-tipped prickles	Krameriaceae	Family Group 23
16	Stamens 6--8 or 10, all filaments or 9 of 10 fused into a tube around the ovary [tube often open on 1 side]; sepals variously colored, sometimes petal-like; no petals reduced to fleshy scales or glands; fruit a capsule, legume, or unarmed, indehiscent pod	17	Family Group 23
17	Sepals all fused, at least at base, forming a cup-shaped to cylindric calyx tube, generally not petal-like; the odd petal [banner] uppermost, overlapping the margins of the 2 upper lateral petals; lower 2 lateral petals generally free at base but fused toward the tip, forming a keel that encloses stamens and ovary; fruit a legume or indehiscent pod	Fabaceae Group 3	Family Group 23
17	Sepals free, petal-like, 2 of them spreading and very different from the other 3; the odd petal lowermost, often appendaged, folded and forming a keel enclosing stamens and ovary, a banner petal never present; fruit a flattened capsule	Polygalaceae	Family Group 23
18	Stamens > in number than petals (sterile stamens as many as petals in pistillate flowers of _Castela_ (Simaroubaceae))	19	Family Group 23
18	Stamens = in number to petals	24	Family Group 23
19	Petals dark blue-purple; stems and leaves gland-dotted, very strongly scented	Rutaceae	Family Group 23
19	Petals white to yellow or green; stems and leaves not scented	20	Family Group 23
20	Hypanthium present, well developed, tubular or cup-shaped	Rosaceae	Family Group 23
20	Hypanthium 0 or small and disk-shaped	21	Family Group 23
21	Anthers opening by small round pores; petals 5; stem not thorn-tipped; moist sites	Ericaceae	Family Group 23
21	Anthers opening along sides by long slits; petals 4--6; stems (except _Glossopetalon pungens_) generally thorn-tipped; arid sites	22	Family Group 23
22	Flowers unisexual; ovary deeply 4--8-lobed	Simaroubaceae	Family Group 23
22	Flowers bisexual; ovary unlobed	23	Family Group 23
23	Petals generally 5; ovary sessile on receptacle, chamber 1; stem angled; leaves oblong or narrowly elliptic to obovate, deciduous or +- persistent; fruit a follicle	Crossosomataceae	Family Group 23
23	Petals 4; ovary raised +- 1 mm above receptacle on short stalk, chambers 2; stem smooth; leaves scale-like, soon deciduous; fruit a berry	Koeberliniaceae {Koeberlinia spinosa var. tenuispina}	Family Group 23
24	Leaves all reduced to bladeless scales; twigs very slender, jointed, green	Tamaricaceae	Family Group 23
24	Leaves with expanded blades, linear to (ob)ovate, sometimes early deciduous; twigs not jointed, green or brown	25	Family Group 23
25	Stamens opposite petals; petals generally with cupped blade	Rhamnaceae	Family Group 23
25	Stamens alternate petals; petals generally flat	26	Family Group 23
26	Leaves 6--17 mm	27	Family Group 23
26	Leaves 15--150 mm	28	Family Group 23
27	Flowers many in tight, leafy-bracted panicle; ovary chambers 5	Celastraceae	Family Group 23
27	Flowers solitary, axillary; ovary chamber 1	Crossosomataceae	Family Group 23
28	Petals 8--15 mm	Pittosporaceae	Family Group 23
28	Petals 1.5--3 mm	29	Family Group 23
29	Leaves 20--80 mm wide, elliptic to ovate; flowers many in terminal panicle	Anacardiaceae	Family Group 23
29	Leaves 5--10 mm wide, +- lanceolate; flowers 1--few, axillary	Celastraceae	Family Group 23
1	Flower bilateral	2	Family Group 24
1	Flower radial	10	Family Group 24
2	Proximal part of calyx with a protruding, hollow spur	3	Family Group 24
2	Proximal part of calyx without a protruding spur, spur 0 or fused to pedicel	4	Family Group 24
3	Leaf not peltate; ovary chambers 5, several-seeded; fruit an exploding capsule	Balsaminaceae	Family Group 24
3	Leaf peltate; ovary chambers 3, 1-seeded; fruit breaking into 3 1-seeded mericarps	Tropaeolaceae	Family Group 24
4	Filaments of all or all but 1 stamen fused, at least proximally	5	Family Group 24
4	Filaments free (0 or fused in pairs)	7	Family Group 24
5	Petals not strongly overlapping; ovary chambers and style branches 5; style base elongating, forming a stiff beak, beak segments coiled on segments of dry fruit	Geraniaceae	Family Group 24
5	Petals strongly overlapping; ovary chambers 1 or 2, style unbranched, not forming beak on fruit	6	Family Group 24
6	Sepals all fused, at least at base, forming a cup-shaped to cylindric calyx tube, generally not petal-like; the odd petal [banner] uppermost, overlapping the margins of the 2 upper lateral petals; lower 2 lateral petals generally free at base but fused toward the tip, forming a keel that encloses stamens and ovary; fruit a legume or indehiscent pod	Fabaceae Group 3	Family Group 24
6	Sepals free, 2 of them petal-like, spreading and very different from the other 3; the odd petal lowermost, often appendaged, folded and forming a keel enclosing stamens and ovary, a banner petal never present; fruit a flattened capsule	Polygalaceae	Family Group 24
7	Flowers solitary; petals 5	Violaceae	Family Group 24
7	Flowers in raceme or spike; petals 2 or 4	8	Family Group 24
8	Inflorescence a spike; ovary 4-lobed, stigmas 4; developing fruit open at tip; stamens 3--4	Resedaceae	Family Group 24
8	Inflorescence a raceme or panicle; ovary unlobed or 2-lobed, stigma 1--2; developing fruit closed at tip	9	Family Group 24
9	Sepals free to base; stamens 6; flowers not subtended by bracts	Brassicaceae	Family Group 24
9	Sepals proximally fused to hypanthium; stamens 3; each flower subtended by a bract	Saxifragaceae	Family Group 24
10	Plants without green pigmentation	Ericaceae	Family Group 24
10	Plants green and photosynthetic	11	Family Group 24
11	Petals 4	12	Family Group 24
11	Petals 5 or more	20	Family Group 24
12	Leaves alternate, sometimes all basal	13	Family Group 24
12	Leaves opposite or whorled	14	Family Group 24
13	Leaves +- fleshy; sepals 2	Montiaceae	Family Group 24
13	Leaves not fleshy; sepals 4	Brassicaceae	Family Group 24
14	Leaves +- cylindric or 3-angled in &times;-section, fleshy; flowers unisexual, dioecious perennial herb or subshrub; petals present only in staminate flowers	Bataceae	Family Group 24
14	Leaves not fleshy; flowers bisexual, annual to subshrub; petals present in all flowers	15	Family Group 24
15	Sepals free or nearly so, hypanthium 0	16	Family Group 24
15	Sepals fused, at least toward base, or hypanthium present	18	Family Group 24
16	Petals 6--20 mm, each bearing a prominent, fringed appendage	Gentianaceae	Family Group 24
16	Petals <= 6 mm, not appendaged	17	Family Group 24
17	Flowers pedicelled, terminal or from distal axils, sometimes in cymes; leaf without stipules; stamens 4 or 8	Caryophyllaceae	Family Group 24
17	Flowers +- sessile in leaf axils (pedicel elongating in fruit); leaf with stipules; stamens 8	Elatinaceae	Family Group 24
18	Leaves generally shallowly few-toothed; inflorescence a dense cyme or raceme borne on a terminal peduncle --- ovary actually 1/2 inferior but easily misinterpreted as superior	Hydrangeaceae	Family Group 24
18	Leaves entire; inflorescence of axillary or terminal cymes or flowers solitary, axillary	19	Family Group 24
19	Petals borne on receptacle; style 2--3(4)-branched, rarely unbranched	Frankeniaceae	Family Group 24
19	Petals borne on inner face of hypanthium; style unbranched	Lythraceae	Family Group 24
20	Flower unisexual	Euphorbiaceae	Family Group 24
20	Flower bisexual	21	Family Group 24
21	Sepals 2 or 3	22	Family Group 24
21	Sepals 5 or more	23	Family Group 24
22	Leaves +- fleshy; sepals persistent on opened flower and fruit	Montiaceae	Family Group 24
22	Leaves not fleshy; sepals early-deciduous, 0 in open flower and fruit	Papaveraceae	Family Group 24
23	Stamens > in number than petals	24	Family Group 24
23	Stamens = in number to petals or fewer	34	Family Group 24
24	Leaves alternate, sometimes all basal	25	Family Group 24
24	Leaves opposite or whorled	28	Family Group 24
25	Style branches and stigmas 5; style elongating, forming a beak; ovules 1 per ovary chamber; fruit breaking into 5 one-seeded mericarps, each tipped with a coiled beak segment	Geraniaceae	Family Group 24
25	Styles or style branches 1--3, stigmas 1--3; style not elongating or forming a beak; ovules several--many per ovary chamber; fruit a capsule	26	Family Group 24
26	Stigmas 2--3, sessile or borne on 2--3 styles or style branches	Saxifragaceae	Family Group 24
26	Stigma 1, sessile or borne on an unbranched style	27	Family Group 24
27	Flower disk-shaped, without a hypanthium; stamens dehiscent by pores	Ericaceae	Family Group 24
27	Flower with a tubular hypanthium; stamens dehiscent along the sides by slits	Lythraceae	Family Group 24
28	Stigma and style 1	29	Family Group 24
28	Stigmas 2--6	30	Family Group 24
29	Flower without a hypanthium; leaf toothed	Ericaceae	Family Group 24
29	Flower with a tubular hypanthium; leaf entire	Lythraceae	Family Group 24
30	Leaf lobed; opposite leaves a single pair, the remainder all basal; stigmas 3 --- ovary chamber 1, placentas parietal --- ovary actually +- 1/2 inferior	Saxifragaceae	Family Group 24
30	Leaf entire or shallowly toothed; opposite leaves generally several--many pairs; stigmas 2--6	31	Family Group 24
31	Leaf entire; ovary chamber 1 (rarely 2--4)	32	Family Group 24
31	Leaf crenate-serrate to serrate; ovary chambers 5--6	33	Family Group 24
32	Leaf not gland-dotted; petals white to pink, purple, or red; placentas free-central (axile)	Caryophyllaceae	Family Group 24
32	Leaf gland-dotted; petals yellow; placentas parietal	Hypericaceae	Family Group 24
33	Flowers 1--few, sessile or short-pedicelled in leaf axils; annual; leaf teeth gland-tipped	Elatinaceae	Family Group 24
33	Flowers in a dense cyme or raceme borne on a terminal peduncle; perennial herb to subshrub; leaf teeth not gland-tipped --- ovary actually 1/2 inferior but easily misinterpreted as superior	Hydrangeaceae	Family Group 24
34	Leaves opposite or whorled	35	Family Group 24
34	Leaves alternate, sometimes all basal	41	Family Group 24
35	Leaves, or at least distal-most, toothed or lobed (proximally generally entire in <i>Sclerolinon</i>)	36	Family Group 24
35	Leaves entire	37	Family Group 24
36	Petals white to pink or purple; inflorescence an umbel	Geraniaceae	Family Group 24
36	Petals yellow; inflorescence a cyme	Linaceae	Family Group 24
37	Stamens opposite petals --- petals actually fused but easily misinterpreted as free	Myrsinaceae	Family Group 24
37	Stamens alternate petals or of different numbers	38	Family Group 24
38	Sepals evidently fused above base	39	Family Group 24
38	Sepals free or nearly so	40	Family Group 24
39	Leaf +- linear, acute	Caryophyllaceae	Family Group 24
39	Leaf oblong to obovate, obtuse, margin often curled under and leaf appearing narrower	Frankeniaceae	Family Group 24
40	Petals without fringed nectary pits	Caryophyllaceae	Family Group 24
40	Base or center of each petal with 2 fringed nectary pits (sometimes appearing as 1 due to overlapping fringes) --- petals actually fused but easily misinterpreted as free	Gentianaceae	Family Group 24
41	Leaf linear, entire	42	Family Group 24
41	Leaf wider, often toothed or lobed	43	Family Group 24
42	Leaves cauline; flowers solitary or in racemes, panicles, or cymes	Linaceae	Family Group 24
42	Leaves all basal; flowers in scapose heads	Plumbaginaceae	Family Group 24
43	Leaf covered with long, gland-tipped, insect-trapping hairs	Droseraceae	Family Group 24
43	Leaf without insect-trapping hairs	44	Family Group 24
44	Styles, style branches, or stigmas 2--4	45	Family Group 24
44	Styles or style branches 5 or more	47	Family Group 24
45	Flowers solitary; stamens alternating with toothed or fringed staminodes; stigmas 4	Parnassiaceae	Family Group 24
45	Flowers 2--many; staminodes 0; stigmas 2--3	46	Family Group 24
46	Annual; leaf veins pinnate or lateral veins obscure; hypanthium 0; ovary unlobed	Linaceae	Family Group 24
46	Perennial herb; leaf veins +- palmate; hypanthium present; ovary generally 2--3-lobed distally	Saxifragaceae	Family Group 24
47	Filaments fused in tube around style; petals thread-like	Malvaceae	Family Group 24
47	Filaments free or fused only at base; petals wider	48	Family Group 24
48	Style elongating, forming a beak; fruit breaking into 5 one-seeded mericarps, each tipped with a coiled beak segment; flowers in umbels	Geraniaceae	Family Group 24
48	Styles not elongating and forming a beak; fruit not breaking into mericarps; flowers in a raceme, cyme, or panicle-like inflorescence	49	Family Group 24
49	Sepals free, +- green; fruit a capsule, 5- or 10-seeded; flowers in a raceme or cyme	Linaceae	Family Group 24
49	Sepals fused, generally pink to blue; fruit indehiscent, 1-seeded; flowers in a panicle-like inflorescence	Plumbaginaceae	Family Group 24
